	barcode01
Streptococcus pseudopneumoniae	22
Streptococcus pyogenes	1995
Streptococcus rubneri	21
Streptococcus rupicaprae	1
Streptococcus salivarius	5
Streptococcus sanguinis	18
Streptococcus shenyangsis	31
Streptococcus suis	7
Streptococcus symci	16
Streptococcus thermophilus	1
Streptococcus timonensis	95
Streptococcus toyakuensis	206
Streptococcus troglodytidis	2
Streptococcus vestibularis	1
Streptococcus vicugnae	3
Streptococcus vulneris	39
Streptococcus zalophi	2
Stutzerimonas stutzeri	1
Superficieibacter electus	3
Symbiopectobacterium purcellii	7
Tatumella punctata	1
Trabulsiella guamensis	1
Trichococcus palustris	1
Trichococcus pasteurii	2
Unknown	326
Ureibacillus xyleni	2
Urinicoccus massiliensis	2
Urinicoccus timonensis	33
Vescimonas coprocola	1
Wujia chipingensis	2000
Xenorhabdus kozodoii	1
Yersinia aldovae	4
Yersinia artesiana	6
Yersinia canariae	140
Yersinia enterocolitica	427
Yersinia entomophaga	1
Yersinia frederiksenii	5
Yersinia hibernica	1287
Yersinia intermedia	1
Yersinia kristensenii	2
Yersinia mollaretii	1
Yersinia nurmii	4
Yersinia pekkanenii	5
Yersinia rochesterensis	1
Yersinia rohdei	63
Yersinia similis	1
Yersinia thracica	30
Yersinia vastinensis	9
Yokenella regensburgei	29
[Bacteroides] pectinophilus	1
[Clostridium] innocuum	1998
[Haemophilus] ducreyi	2000
[Haemophilus] piscium	5
[Pasteurella] mairii	1
[Pseudomonas] hibiscicola	13
